date,open_price,high_price,low_price,close_price,no_of_shares,no_of_trades,total_turnover
2024-07-05,1050.0,1050.0,1020.0,1026.9,2354,293,2418711.0
2024-07-04,1017.0,1050.0,1007.3,1030.55,6966,402,7132811.0
2024-07-03,1023.0,1031.55,1013.0,1017.25,4342,461,4438937.0
2024-07-02,1061.6,1070.0,1018.3,1020.95,3710,454,3848733.0
2024-07-01,1073.95,1073.95,1050.65,1056.4,1511,257,1598433.0
2024-06-28,1095.45,1129.7,1038.95,1042.55,15511,823,16648598.0
2024-06-27,1102.0,1102.05,1059.15,1086.4,2474,266,2666507.0
2024-06-26,1025.0,1100.1,1020.35,1077.85,9118,550,9809871.0
2024-06-25,1040.25,1040.3,1016.1,1022.85,2774,523,2842316.0
2024-06-24,1015.0,1034.5,1007.3,1033.55,2976,191,3050658.0
2024-06-21,1028.8,1039.6,1008.0,1021.05,2221,189,2273693.0
2024-06-20,1088.9,1088.9,997.7,1000.15,2929,250,2943566.0
2024-06-19,1049.1,1054.45,1016.45,1021.55,1641,156,1696607.0
2024-06-18,1087.9,1087.9,1046.0,1047.4,2276,158,2404183.0
2024-06-14,1047.35,1054.35,1037.0,1049.85,1406,143,1475558.0
2024-06-13,1064.5,1066.7,1041.85,1043.35,811,81,856356.0
2024-06-12,1050.75,1070.95,1048.05,1057.0,116390,167,123034347.0
2024-06-11,1089.95,1089.95,1028.0,1045.6,2298,200,2401439.0
2024-06-10,1031.6,1053.0,1028.05,1043.6,3390,297,3536687.0
2024-06-07,995.0,1035.0,966.85,1030.3,2165,235,2176029.0
2024-06-06,979.95,1008.4,968.35,988.6,7797,257,7645891.0
2024-06-05,976.15,988.0,916.15,966.9,9574,862,9079803.0
2024-06-04,1049.95,1049.95,932.4,955.5,12218,901,11742859.0
2024-06-03,1020.0,1046.7,1006.35,1036.0,5471,445,5586853.0
2024-05-31,1009.95,1010.0,955.9,983.75,5499,497,5372187.0
2024-05-30,1000.0,1009.9,981.0,1005.2,7898,369,7849110.0
2024-05-29,998.35,999.45,985.0,988.9,3888,107,3848870.0
2024-05-28,990.0,991.85,971.75,989.15,4026,133,3969794.0
2024-05-27,998.85,1001.2,986.25,988.25,14909,197,14902577.0
2024-05-24,982.65,996.9,978.05,989.9,2916,157,2881181.0
2024-05-23,963.2,978.6,963.2,975.85,1885,188,1832774.0
2024-05-22,950.75,955.15,935.0,952.0,2226,293,2102903.0
2024-05-21,998.9,998.9,943.2,948.35,9263,512,8882736.0
2024-05-18,955.65,958.4,955.0,955.0,92,12,87988.0
2024-05-17,961.0,975.0,946.45,950.7,10626,328,10236397.0
2024-05-16,967.4,980.75,956.25,960.3,2736,116,2646295.0
2024-05-15,990.0,990.0,912.65,935.25,1395,268,1293815.0
