date,open_price,high_price,low_price,close_price,no_of_shares,no_of_trades,total_turnover
2024-02-07,2870.0,2898.0,2858.45,2883.4,320512,17141,921068735.0
2024-02-06,2887.4,2887.4,2840.8,2856.8,115081,6943,329215949.0
2024-02-05,2921.2,2940.0,2864.0,2877.05,128072,8519,372852016.0
2024-02-02,2864.45,2949.9,2864.45,2914.75,653622,30556,1903221053.0
2024-02-01,2871.2,2885.25,2836.7,2852.7,88274,10933,252288585.0
2024-01-31,2811.45,2869.45,2804.95,2853.2,108704,8366,309631479.0
2024-01-30,2905.4,2917.95,2808.75,2814.85,303348,23247,868220947.0
2024-01-29,2713.2,2905.0,2713.2,2896.15,823950,65962,2338235457.0
2024-01-25,2684.5,2725.0,2670.05,2710.35,2411115,25222,6483638437.0
2024-01-24,2660.0,2699.0,2649.0,2688.7,273061,9867,727511509.0
2024-01-23,2732.15,2742.75,2645.0,2656.0,102297,8736,274542083.0
2024-01-20,2729.95,2765.05,2698.6,2713.2,171490,14801,468880187.0
2024-01-19,2753.0,2753.0,2716.85,2735.05,483007,23753,1319820882.0
2024-01-18,2700.0,2742.0,2700.0,2734.9,158982,9660,433204414.0
2024-01-17,2729.85,2772.0,2711.0,2722.8,115862,8557,317509064.0
2024-01-16,2781.85,2792.5,2741.0,2747.65,153804,8546,427181592.0
2024-01-15,2746.9,2792.65,2732.0,2787.5,121727,10322,336781576.0
2024-01-12,2718.4,2746.45,2691.55,2740.1,606506,30221,1659089968.0
2024-01-11,2655.7,2724.95,2655.7,2718.4,344195,24161,926490169.0
2024-01-10,2580.6,2658.95,2577.3,2649.95,458001,25020,1198109897.0
2024-01-09,2597.35,2607.05,2576.25,2580.6,140422,6835,364811683.0
2024-01-08,2612.4,2632.0,2568.3,2586.1,87501,7032,227612750.0
2024-01-05,2600.15,2619.45,2597.95,2606.75,465515,24601,1212972546.0
2024-01-04,2589.4,2609.75,2580.0,2597.4,162584,9815,422699365.0
2024-01-03,2608.1,2634.0,2577.15,2582.95,107501,7371,280341629.0
2024-01-02,2587.65,2614.9,2573.5,2610.9,86186,8001,223451913.0
2024-01-01,2581.05,2606.0,2573.55,2589.85,67641,6352,175008138.0
2023-12-29,2608.05,2614.8,2579.15,2584.85,848448,42547,2195133665.0
2023-12-28,2587.0,2611.35,2587.0,2605.8,183810,10929,478616745.0
2023-12-27,2578.5,2599.35,2572.25,2586.35,103806,8408,268607724.0
2023-12-26,2570.0,2592.9,2563.0,2577.5,90284,8523,232910700.0
2023-12-22,2562.2,2580.55,2548.0,2564.7,524558,21877,1344202430.0
2023-12-21,2510.45,2572.5,2510.45,2562.2,364795,23148,929831272.0
2023-12-20,2560.3,2597.85,2520.0,2527.35,649409,40425,1662033428.0
2023-12-19,2537.7,2573.0,2525.85,2558.45,234379,13459,598935764.0
2023-12-18,2494.2,2534.4,2491.05,2519.95,196178,10242,494426477.0
2023-12-15,2472.15,2499.95,2469.05,2495.2,681578,35209,1694593552.0
2023-12-14,2453.0,2475.0,2442.7,2464.5,3647716,10059,9008995860.0
2023-12-13,2427.75,2438.0,2406.3,2433.4,137296,10893,332233575.0
2023-12-12,2458.0,2464.9,2420.25,2423.95,98105,8193,240070812.0
2023-12-11,2452.15,2467.4,2452.15,2459.05,169515,13614,417019812.0
2023-12-08,2461.2,2475.7,2444.5,2456.2,1107109,43196,2719948876.0
2023-12-07,2460.7,2461.05,2442.0,2457.6,2891485,6703,7114411520.0
2023-12-06,2443.25,2473.6,2440.3,2460.7,130350,8453,320687749.0
2023-12-05,2433.0,2440.5,2421.35,2437.55,390820,23258,951318931.0
2023-12-04,2440.05,2445.0,2395.0,2421.0,6478365,19776,15531973131.0
2023-12-01,2381.0,2396.9,2380.0,2393.45,2830557,27006,6760884280.0
2023-11-30,2398.0,2400.5,2371.25,2376.4,4376134,12124,10437186565.0
2023-11-29,2405.15,2411.75,2398.25,2400.5,323782,20032,779182548.0
2023-11-28,2393.0,2398.8,2375.0,2394.55,353122,15723,840479418.0
2023-11-24,2390.2,2402.4,2390.2,2394.3,584860,23877,1402299087.0
2023-11-23,2387.75,2401.25,2387.75,2395.15,227525,8100,545631845.0
2023-11-22,2372.7,2394.75,2372.4,2387.75,63242,5863,150852490.0
2023-11-21,2362.05,2387.65,2359.4,2378.5,76008,6561,180625244.0
2023-11-20,2349.0,2358.0,2336.85,2349.3,163824,13079,384269278.0
2023-11-17,2357.35,2373.0,2353.0,2355.85,573100,28033,1356168982.0
2023-11-16,2349.95,2373.7,2346.8,2363.35,435606,20362,1030015961.0
